供应商,品类,区域,价格指数,质量缺陷PPM,准时交付率,平均交期_天,响应时长_小时,柔性能力评分,财务稳健度,ESG评分,合作年限,纠纷次数,创新能力评分
S001,原材料,华北,54.89,689,0.8907,16.9,15.1,79.2,0.7454,61.0,5.8,1,70.8
S002,物流,华东,71.14,990,0.6377,24.7,31.9,46.4,0.5845,48.0,2.9,2,57.4
S003,零部件,东北,87.46,1293,0.645,28.7,35.1,34.4,0.5016,50.1,1.9,4,55.8
S004,物流,华东,79.47,1220,0.5515,29.7,34.7,36.8,0.5516,42.4,2.2,2,60.2
S005,服务外包,华南,70.51,527,0.8983,12.8,23.1,86.1,0.8072,81.0,6.5,1,79.9
S006,零部件,西南,66.09,978,0.6655,25.1,30.7,51.0,0.6825,58.2,5.9,3,60.9
S007,零部件,东北,55.18,764,0.8733,20.2,22.5,69.5,0.8626,71.6,5.0,2,68.5
S008,原材料,西南,74.53,1005,0.6869,25.8,31.7,53.5,0.6577,65.4,5.3,1,62.0
S009,原材料,华北,65.36,932,0.817,17.1,23.2,69.5,0.5864,57.8,2.0,1,65.5
S010,零部件,华东,90.44,752,0.7833,19.9,25.3,58.9,0.3914,31.0,1.2,3,23.4
S011,零部件,华南,58.16,478,0.9721,16.7,11.8,84.7,0.7574,63.3,4.9,0,52.0
S012,物流,华北,77.9,952,0.7647,21.6,22.5,43.8,0.1862,28.7,0.0,3,25.1
S013,零部件,华南,92.15,764,0.8166,16.3,15.6,66.1,0.5955,48.3,1.2,2,41.7
S014,原材料,华南,90.41,1528,0.5,28.7,39.4,30.2,0.6185,49.4,4.5,4,55.4
S015,原材料,东北,85.87,655,0.8032,18.4,21.6,58.7,0.5106,41.3,0.0,1,37.2
S016,服务外包,海外,91.43,900,0.7923,20.1,22.9,54.7,0.589,38.8,2.7,2,50.7
S017,原材料,华北,60.13,744,0.8373,18.8,20.6,61.4,0.4785,45.9,3.3,1,34.7
S018,零部件,华东,79.41,1075,0.7344,22.9,25.7,44.1,0.5547,42.9,0.0,2,47.5
S019,服务外包,华南,57.05,614,0.8449,14.9,18.7,73.5,0.9124,81.7,4.6,2,75.6
S020,原材料,华北,70.77,556,0.8095,18.2,19.0,70.2,0.5499,40.8,2.6,1,45.5
S021,零部件,华东,70.1,680,0.8711,17.6,19.1,65.5,0.4763,72.4,5.0,1,55.0
S022,服务外包,华南,61.21,1361,0.5751,27.5,37.3,36.4,0.62,42.3,0.7,3,50.3
S023,原材料,华北,75.97,574,0.8969,16.5,20.2,77.8,0.4921,69.2,4.9,0,60.5
S024,零部件,西南,67.41,573,0.8865,19.0,18.1,70.5,0.3902,44.5,2.1,1,37.8
S025,服务外包,东北,69.88,720,0.8011,18.9,20.8,66.0,0.4043,44.9,3.8,1,32.2
S026,原材料,华北,63.66,615,0.8173,15.9,24.7,64.8,0.3838,50.7,4.1,0,40.4
S027,零部件,华南,60.6,1204,0.7387,26.5,30.4,41.3,0.323,50.5,1.7,3,33.1
S028,物流,西南,71.75,874,0.8134,19.2,24.9,61.3,0.6545,73.7,5.1,2,51.2
S029,零部件,海外,71.02,1208,0.652,23.7,32.3,56.2,0.8955,76.0,3.8,2,85.6
S030,零部件,华东,70.29,568,0.7825,12.6,23.6,80.7,0.4395,46.5,0.0,0,31.4
S031,原材料,华北,80.93,1054,0.6787,25.0,26.3,49.9,0.4852,47.6,0.6,4,45.1
S032,零部件,东北,61.59,542,0.966,12.0,14.7,90.5,0.6809,65.2,4.5,2,69.1
S033,零部件,海外,65.21,881,0.8654,18.1,17.8,68.4,0.5485,55.9,4.0,2,44.8
S034,零部件,华东,84.66,898,0.7523,21.8,26.5,46.9,0.578,37.8,0.0,2,50.8
S035,零部件,华东,58.73,1002,0.6926,23.5,26.9,47.8,0.6365,52.1,2.1,1,43.1
S036,物流,西南,85.09,1228,0.6458,27.7,28.8,44.9,0.7755,72.9,2.7,3,60.8
S037,物流,东北,85.67,998,0.7426,24.4,26.3,49.3,0.428,29.0,0.0,2,31.8
S038,原材料,华北,70.09,1078,0.6664,22.8,30.4,59.1,0.7293,64.7,5.8,5,60.3
S039,零部件,华南,56.17,769,0.7852,19.8,24.1,50.9,0.5279,30.8,1.3,2,33.7
S040,原材料,东北,59.38,710,0.7681,18.8,22.2,61.9,0.7801,60.6,5.9,3,48.1
S041,零部件,华南,82.87,295,0.999,12.1,16.8,91.4,0.6194,56.2,5.2,0,58.2
S042,零部件,华北,89.34,652,0.8079,17.1,17.4,63.4,0.4606,42.1,0.4,0,43.0
S043,零部件,华北,50.94,710,0.9119,15.1,15.4,76.3,0.99,96.1,3.2,1,89.0
S044,零部件,华东,73.23,523,0.8818,17.5,26.7,66.8,0.6242,45.6,5.1,2,39.6
S045,零部件,东北,58.17,551,0.8914,16.0,17.9,78.6,0.7903,55.2,3.1,2,57.3
S046,物流,华北,62.4,458,0.9215,14.9,17.3,62.5,0.1923,32.3,0.0,1,26.8
S047,零部件,华北,54.24,859,0.7624,20.4,26.0,54.7,0.5615,48.3,3.8,1,39.2
S048,服务外包,华东,63.65,463,0.81,17.6,19.7,63.4,0.1,28.2,0.5,2,26.2
